created_date,in_transit_date,Alpha-3-code,zip_code,courier,delivery_region,delivery_cancelled,return_tracking,delivery_location,delivery_date,pickup_date,time_taken,Country,Numeric code,Latitude (average),Longitude (average)
2020-09-01 00:00:00,2020-09-02 13:19:00,GBR,RG64HX,dpd-de,GB-ENG,f,f,HomeDeposit,2020-09-04 07:18:00,2020-09-02 00:00:00,1 days 17:59:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-01 14:46:00,GBR,RG287FD,dpd-de,GB-ENG,f,f,Unknown,2020-09-04 11:16:00,2020-09-01 00:00:00,2 days 20:30:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-01 20:30:00,GBR,LE144NG,ups,GB-ENG,f,f,Doorstep,2020-09-03 10:00:00,2020-09-01 07:00:00,1 days 13:30:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-01 14:41:00,GBR,LA12NH,dpd-de,GB-ENG,f,f,Unknown,2020-09-03 13:51:00,2020-09-01 00:00:00,1 days 23:10:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-01 14:41:00,GBR,LA12NH,dpd-de,GB-ENG,f,f,Unknown,2020-09-03 13:51:00,2020-09-01 00:00:00,1 days 23:10:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-02 13:25:00,GBR,HU192PE,dpd-de,GB-ENG,f,f,Unknown,2020-09-04 12:04:00,2020-09-02 00:00:00,1 days 22:39:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-02 13:15:00,GBR,YO259EG,dpd-de,GB-ENG,f,f,Unknown,2020-09-04 15:52:00,2020-09-02 00:00:00,2 days 02:37:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-02 13:29:00,GBR,NN36JE,dpd-de,GB-ENG,f,f,Unknown,2020-09-04 14:20:00,2020-09-02 00:00:00,2 days 00:51:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-02 12:48:00,GBR,DL82LR,dpd-de,GB-ENG,f,f,Unknown,2020-09-10 09:22:00,2020-09-02 00:00:00,7 days 20:34:00.000000000,United Kingdom,826,54.0,-2.0
2020-09-01 00:00:00,2020-09-01 15:17:00,GBR,DD53QP,dpd-de,GB-SCT,f,f,Unknown,2020-09-03 15:13:00,2020-09-01 00:00:00,1 days 23:56:00.000000000,United Kingdom,826,54.0,-2.0
